 ,Area(zone a),Mean(zone a),Min(zone a),Max(zone a),Area(zone b),Mean(zone b),Min(zone b),Max(zone b)
1,263520,62428.816,0,65535,247599,62334.398,0,65535
2,263520,44210.297,0,65535,247599,23391.822,0,65535
3,263520,43939.367,5534,65535,247599,23177.750,0,65535
4,263520,44126.867,0,65535,247599,23343.965,0,65535
5,263520,43967.457,1277,65535,247599,23197.920,0,65535
6,263520,44252.727,0,65535,247599,23451.270,0,65535
7,263520,43991.188,5960,65535,247599,23206.367,0,65535
8,263520,43934.781,3831,65535,247599,23172.271,0,65535
9,263520,44277.090,0,65535,247599,23452.891,0,65535
10,263520,43944.586,3831,65535,247599,23193.326,0,65535
11,263520,15122.059,0,63859,247599,31222.020,1277,63859
12,263520,15624.594,0,56196,247599,30874.760,2128,62156
13,263520,15769.104,0,61305,247599,31057.598,5534,61305
14,263520,15771.557,0,57047,247599,31033.793,4683,57047
15,263520,15514.883,0,60453,247599,30787.234,425,60453
16,263520,15725.247,0,57899,247599,30976.209,5960,58750
17,263520,15424.148,0,53642,247599,30668.809,5534,65535
18,263520,15746.299,0,57899,247599,31032.549,2980,57899
19,263520,15551.429,0,56622,247599,30807.895,3831,56622
20,263520,15724.603,0,61305,247599,31004.207,5960,61305
21,263520,15762.181,0,59602,247599,30991.922,5960,59602
22,263520,29977.705,0,65535,247599,26454.426,0,65535
23,263520,44474.805,4683,65535,247599,23239.365,0,65535
24,263520,43965.387,5108,65535,247599,23184.789,0,65535
25,263520,44221.434,1702,65535,247599,23389.232,0,65535
26,263520,44038.734,5960,65535,247599,23239.127,0,65535
27,263520,44263.609,4257,65535,247599,23420.238,0,65535
28,263520,44241.020,0,65535,247599,23372.762,0,65535
29,263520,43875.762,5108,65535,247599,23081.645,0,65535
30,263520,44243.996,5960,65535,247599,23373.012,0,65535
31,263520,44053.234,4257,65535,247599,23235.623,0,65535
32,263520,44207.309,5960,65535,247599,23370.391,0,65535
33,263520,43594.965,851,65535,247599,23266.318,0,65535
34,263520,14946.503,0,58750,247599,30988.656,3831,58750
35,263520,15801.454,0,55345,247599,31027.943,2128,55345
36,263520,15492.891,0,54919,247599,30734.863,0,65136
37,263520,15747.039,0,54919,247599,30968.490,2980,54919
38,263520,15503.745,0,65136,247599,30713.006,0,65136
39,263520,15681.277,0,57473,247599,30901.398,6385,57473
40,263520,15524.960,0,65535,247599,30721.801,1702,65535
41,263520,15396.180,0,51513,247599,30577.205,0,63859
42,263520,15697.264,0,53216,247599,30887.705,5534,54493
43,263520,15482.139,0,63433,247599,30688.553,4683,65535
44,263520,15749.945,0,60879,247599,31000.812,5534,60879
45,263520,30624.844,1702,65535,247599,26484.520,0,65535
46,263520,44458.898,0,65535,247599,23270.557,0,65535
47,263520,43980.781,5960,65535,247599,23178.404,0,65535
48,263520,43855.090,4683,65535,247599,23047.500,0,65535
49,263520,44244.984,2128,65535,247599,23362.172,0,65535
50,263520,43987.676,5534,65535,247599,23152.443,0,65535
51,263520,44279.945,0,65535,247599,23411.168,0,65535
52,263520,44121.219,2128,65535,247599,23252.031,0,65535
53,263520,44259.070,4257,65535,247599,23378.207,0,65535
54,263520,44288.645,4683,65535,247599,23358.387,0,65535
55,263520,44137.422,5108,65535,247599,23267.756,0,65535
56,263520,43467.250,5960,65535,247599,23583.717,0,65535
57,263520,14992.875,0,60453,247599,31065.324,4257,63008
58,263520,15822.487,0,61731,247599,31130.363,6811,61731
59,263520,15616.081,0,62156,247599,30898.412,851,62156
60,263520,15832.367,0,55770,247599,31142.061,4683,55770
61,263520,15739.231,0,63859,247599,30973.180,6385,63859
62,263520,15536.943,0,58750,247599,30789.488,2128,58750
63,263520,15754.688,0,60028,247599,30970.535,1702,60028
64,263520,15591.634,0,55345,247599,30818.680,4257,65535
65,263520,15722.568,0,57473,247599,30957.006,4683,60879
66,263520,15600.995,0,60028,247599,30812.234,4257,60028
67,263520,15715.185,0,59176,247599,30914.441,6385,59176
68,263520,31125.092,0,65535,247599,26381.789,0,65535
69,263520,44173.043,4257,65535,247599,23076.957,0,65535
70,263520,44101.848,5960,65535,247599,23303.160,0,65535
71,263520,43884.836,0,65535,247599,23100.684,0,65535
72,263520,44191.066,5108,65535,247599,23381.039,0,65535
73,263520,44028.598,3831,65535,247599,23216.826,0,65535
74,263520,43998.219,0,65535,247599,23175.490,0,65535
75,263520,44306.805,6385,65535,247599,23418.031,0,65535
76,263520,43940.250,0,65535,247599,23109.457,0,65535
77,263520,44317.590,6385,65535,247599,23398.018,0,65535
78,263520,44085.113,3831,65535,247599,23225.805,0,65535
79,263520,43072.695,2980,65535,247599,23806.293,0,65535
80,263520,15067.372,0,60879,247599,31152.258,3405,62582
81,263520,15608.932,0,55345,247599,30895.600,5108,55345
82,263520,15855.646,0,61731,247599,31142.898,5108,61731
83,263520,15572.289,0,58750,247599,30867.102,4683,63433
84,263520,15743.803,0,61305,247599,31039.064,6385,61305
85,263520,15578.889,0,54067,247599,30846.066,0,54067
86,263520,15726.119,0,58750,247599,30996.496,3831,58750
87,263520,15495.630,0,59602,247599,30722.826,3831,59602
88,263520,15466.431,0,56622,247599,30690.547,4257,63008
89,263520,15761.032,0,61731,247599,30950.795,3831,65535
90,263520,15470.505,0,58325,247599,30691.271,3831,58325
91,263520,31676.250,1702,65535,247599,26388.238,0,65535
92,263520,44200.727,4257,65535,247599,23109.965,0,65535
93,263520,44023.465,4257,65535,247599,23288.141,0,65535
94,263520,44019.641,3831,65535,247599,23221.578,0,65535
95,263520,43702.461,3405,65535,247599,22998.477,0,65535
96,263520,44056.387,5108,65535,247599,23265.506,0,65535
97,263520,43848.113,4683,65535,247599,23121.508,0,65535
98,263520,44084.895,2980,65535,247599,23317.590,0,65535
99,263520,43954.230,6811,65535,247599,23180.611,0,65535
100,263520,44179.512,3831,65535,247599,23374.578,0,65535
101,263520,44265.660,5108,65535,247599,23394.477,0,65535
102,263520,42164.820,5534,65535,247599,23528.678,0,65535
103,263520,15222.139,0,54919,247599,31278.707,2128,63433
104,263520,15635.436,0,52364,247599,30936.062,5108,54067
105,263520,15718.979,0,58750,247599,31036.025,0,58750
106,263520,15525.066,0,59602,247599,30815.732,3831,65535
107,263520,15791.229,0,55770,247599,31107.365,2128,55770
108,263520,15768.152,0,61731,247599,31025.771,1277,61731
109,263520,15491.742,0,59176,247599,30769.855,5534,64711
110,263520,15772.838,0,56622,247599,31036.584,1702,56622
111,263520,15503.767,0,58750,247599,30755.146,0,58750
112,263520,15718.820,0,54919,247599,30999.543,2980,54919
113,263520,15530.589,0,58325,247599,30777.658,0,58325
114,263520,31928.854,0,65535,247599,26066.066,0,65535
115,263520,44509.422,5108,65535,247599,23316.729,0,65535
116,263520,43915.301,4257,65535,247599,23146.850,0,65535
117,263520,44209.719,4683,65535,247599,23366.984,0,65535
118,263520,44030.004,5534,65535,247599,23234.551,0,65535
119,263520,44239.227,4683,65535,247599,23424.410,0,65535
120,263520,44019.047,5960,65535,247599,23224.949,0,65535
121,263520,43879.566,5534,65535,247599,23111.973,0,65535
122,263520,44189.000,4257,65535,247599,23341.301,0,65535
123,263520,43856.934,2554,65535,247599,23079.920,0,65535
124,263520,44168.684,0,65535,247599,23369.436,0,65535
125,263520,41756.727,851,65535,247599,23729.939,0,65535
126,263520,15173.498,0,61731,247599,31210.598,851,61731
127,263520,15624.543,0,60028,247599,30869.043,0,61305
128,263520,15408.982,0,51087,247599,30658.852,851,65535
129,263520,15789.245,0,55770,247599,31048.305,0,59176
130,263520,15476.477,0,61305,247599,30737.174,5534,61305
131,263520,15745.954,0,52790,247599,31026.957,3831,54493
132,263520,15550.430,0,54919,247599,30808.908,1277,61731
133,263520,15711.861,0,61731,247599,30985.117,5108,65535
134,263520,15804.963,0,63008,247599,31063.371,5534,63008
135,263520,15500.643,0,62582,247599,30747.996,5960,65535
136,263520,15793.236,0,61731,247599,31029.068,6811,63008
137,263520,32360.492,0,64711,247599,25890.873,0,64711
138,263520,44487.277,5960,65535,247599,23350.820,0,65535
139,263520,44023.496,5534,65535,247599,23214.086,0,65535
140,263520,44180.605,0,65535,247599,23356.473,0,65535
141,263520,44268.074,5534,65535,247599,23390.195,0,65535
142,263520,43950.555,3405,65535,247599,23159.838,0,65535
143,263520,44201.625,4257,65535,247599,23334.553,0,65535
144,263520,43997.375,0,65535,247599,23189.318,0,65535
145,263520,44217.016,5108,65535,247599,23384.340,0,65535
146,263520,44032.066,5534,65535,247599,23211.611,0,65535
147,263520,44198.656,5534,65535,247599,23358.154,0,65535
148,263520,41497.031,425,65535,247599,23980.439,0,65535
149,263520,15038.085,0,63433,247599,31031.793,2128,64711
150,263520,15798.624,0,57473,247599,31020.672,851,57473
151,263520,15540.942,0,60879,247599,30776.107,0,60879
152,263520,15680.615,0,57473,247599,30927.762,2980,63008
153,263520,15473.640,0,60453,247599,30683.092,7237,60453
154,263520,15410.634,0,56196,247599,30600.557,6811,65535
155,263520,15661.062,0,63008,247599,30846.611,4257,65136
156,263520,15430.002,0,51513,247599,30615.215,2980,60453
157,263520,15696.951,0,60453,247599,30882.863,5960,60453
158,263520,15440.236,0,61305,247599,30644.439,5534,63859
159,263520,15676.094,0,59176,247599,30907.434,1702,59176
160,263520,32888.730,1277,65535,247599,25806.648,0,65535
161,263520,44058.062,3831,65535,247599,22974.861,0,65535
162,263520,44180.188,5960,65535,247599,23320.951,0,65535
163,263520,43871.094,0,65535,247599,23060.436,0,65535
164,263520,44253.961,4257,65535,247599,23389.605,0,65535
165,263520,44060.207,5108,65535,247599,23210.059,0,65535
166,263520,44218.660,2980,65535,247599,23352.312,0,65535
167,263520,44072.371,3831,65535,247599,23207.832,0,65535
168,263520,43968.703,5108,65535,247599,23127.551,0,65535
169,263520,44258.145,4257,65535,247599,23326.697,0,65535
170,263520,43985.676,4257,65535,247599,23127.416,0,65535
171,263520,41085.602,0,65535,247599,24149.133,0,65535
