 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
1,115080,62437.547,0,65535
2,115080,44838.445,0,65535
3,115080,44587.039,5534,65535
4,115080,44755.543,0,65535
5,115080,44602.590,5960,65535
6,115080,44878.867,0,65535
7,115080,44618.688,5960,65535
8,115080,44570.957,3831,65535
9,115080,44886.910,0,65535
10,115080,44584.770,3831,65535
11,115080,30318.754,1277,63859
12,115080,30591.418,2128,56196
13,115080,30755.941,5534,61305
14,115080,30748.410,6811,57047
15,115080,30473.496,425,60453
16,115080,30690.885,6811,57899
17,115080,30367.057,5534,53642
18,115080,30720.195,2980,57899
19,115080,30503.051,4257,56622
20,115080,30694.289,5960,61305
21,115080,30714.150,5960,59602
22,115080,37846.082,5108,65535
23,115080,44904.648,4683,65535
24,115080,44584.738,5108,65535
25,115080,44818.219,5960,65535
26,115080,44653.562,6385,65535
27,115080,44849.012,4257,65535
28,115080,44820.031,2980,65535
29,115080,44484.566,5534,65535
30,115080,44812.094,5960,65535
31,115080,44657.043,2554,65535
32,115080,44791.781,5960,65535
33,115080,44413.832,851,65535
34,115080,30106.920,5534,58750
35,115080,30767.475,2128,55345
36,115080,30428.623,0,54919
37,115080,30689.873,2980,54919
38,115080,30415.520,0,65136
39,115080,30593.484,4257,57473
40,115080,30426.641,1702,65535
41,115080,30284.459,0,51513
42,115080,30600.877,6811,53216
43,115080,30393.490,4683,63433
44,115080,30703.654,5534,60879
45,115080,38230.059,5960,65535
46,115080,44899.246,0,65535
47,115080,44581.395,5960,65535
48,115080,44440.512,4683,65535
49,115080,44816.207,5108,65535
50,115080,44585.031,5534,65535
51,115080,44869.145,0,65535
52,115080,44698.203,5108,65535
53,115080,44841.625,4257,65535
54,115080,44851.648,4683,65535
55,115080,44727.113,4257,65535
56,115080,44496.145,6385,65535
57,115080,30194.131,4257,60453
58,115080,30842.660,5108,61731
59,115080,30611.658,851,62156
60,115080,30850.729,6811,55770
61,115080,30698.090,6385,63859
62,115080,30492.816,2128,58750
63,115080,30691.424,1702,60028
64,115080,30530.936,6385,55345
65,115080,30658.895,4683,57473
66,115080,30517.953,6811,60028
67,115080,30631.166,6385,59176
68,115080,38470.895,1702,65535
69,115080,44620.031,4257,65535
70,115080,44678.105,5960,65535
71,115080,44475.324,0,65535
72,115080,44789.270,5108,65535
73,115080,44618.469,5534,65535
74,115080,44610.418,0,65535
75,115080,44880.340,6811,65535
76,115080,44537.676,0,65535
77,115080,44883.195,6385,65535
78,115080,44686.301,3831,65535
79,115080,44381.746,6385,65535
80,115080,30284.430,2980,60879
81,115080,30612.025,5534,55345
82,115080,30875.943,7663,61731
83,115080,30558.221,4683,58750
84,115080,30740.900,7237,61305
85,115080,30546.459,0,54067
86,115080,30685.807,6811,58750
87,115080,30425.342,3831,59602
88,115080,30386.537,4257,56622
89,115080,30673.762,3831,61731
90,115080,30386.086,3831,58325
91,115080,38805.754,7237,65535
92,115080,44676.391,4257,65535
93,115080,44636.777,4257,65535
94,115080,44598.215,3831,65535
95,115080,44325.203,3405,65535
96,115080,44643.953,5108,65535
97,115080,44467.203,5108,65535
98,115080,44690.691,5960,65535
99,115080,44559.426,5108,65535
100,115080,44789.281,3831,65535
101,115080,44849.895,3831,65535
102,115080,43743.094,5534,65535
103,115080,30437.480,2128,54919
104,115080,30643.621,5108,52364
105,115080,30729.473,0,58750
106,115080,30513.939,2128,59602
107,115080,30796.928,4257,55770
108,115080,30747.217,1277,61731
109,115080,30458.977,5960,59176
110,115080,30749.467,1702,56622
111,115080,30458.385,5534,58750
112,115080,30686.045,2980,54919
113,115080,30478.312,1277,58325
114,115080,38875.680,5108,65535
115,115080,44953.590,5534,65535
116,115080,44546.859,4257,65535
117,115080,44810.812,4683,65535
118,115080,44655.430,5534,65535
119,115080,44857.074,4683,65535
120,115080,44653.688,3831,65535
121,115080,44503.848,5534,65535
122,115080,44775.277,3405,65535
123,115080,44475.035,5534,65535
124,115080,44794.051,0,65535
125,115080,43578.098,5108,65535
126,115080,30344.607,851,61731
127,115080,30591.279,0,60028
128,115080,30351.738,851,51087
129,115080,30759.963,0,55770
130,115080,30428.904,3831,61305
131,115080,30726.439,3831,52790
132,115080,30514.162,1277,54919
133,115080,30681.197,5108,61731
134,115080,30775.344,5960,63008
135,115080,30453.324,5108,62582
136,115080,30743.863,6811,61731
137,115080,39053.789,5960,64711
138,115080,44976.023,5108,65535
139,115080,44632.676,5534,65535
140,115080,44777.648,0,65535
141,115080,44851.910,5534,65535
142,115080,44577.645,4683,65535
143,115080,44780.535,5108,65535
144,115080,44615.402,4683,65535
145,115080,44819.297,5108,65535
146,115080,44641.668,5534,65535
147,115080,44787.938,5534,65535
148,115080,43536.344,2128,65535
149,115080,30191.771,2128,63433
150,115080,30766.055,7237,57473
151,115080,30488.859,0,60879
152,115080,30615.482,2980,57473
153,115080,30382.855,6385,60453
154,115080,30301.885,6811,56196
155,115080,30551.143,4257,63008
156,115080,30326.014,2980,51513
157,115080,30602.441,6385,60453
