time_s,ch1_v,ch2_v
-0.05,-0.4866709,-0.67564071
-0.04995,-0.48415834,-0.68066583
-0.0499,-0.49295231,-0.64674623
-0.04985,-0.50174628,-0.62036432
-0.0498,-0.51054025,-0.59146985
-0.04975,-0.51682165,-0.56760051
-0.0497,-0.52310306,-0.55126885
-0.04965,-0.53440959,-0.53493719
-0.0496,-0.53817844,-0.51734925
-0.04955,-0.54697241,-0.50604272
-0.0495,-0.55074125,-0.49473619
-0.04945,-0.55702266,-0.47966081
-0.0494,-0.56456035,-0.47086684
-0.04935,-0.57209803,-0.45956031
-0.0493,-0.57335432,-0.4532789
-0.04925,-0.58340457,-0.44448493
-0.0492,-0.58968597,-0.43569096
-0.04915,-0.5947111,-0.42940955
-0.0491,-0.60224879,-0.42564071
-0.04905,-0.60601763,-0.41684674
-0.049,-0.60727391,-0.41182161
-0.04895,-0.61858045,-0.40930905
-0.0489,-0.62360557,-0.40177136
-0.04885,-0.62486185,-0.39674624
-0.0488,-0.62988698,-0.38920855
-0.04875,-0.63993723,-0.38795227
-0.0487,-0.64370607,-0.38041458
-0.04865,-0.64621864,-0.38167086
-0.0486,-0.65250004,-0.37413317
-0.04855,-0.65878145,-0.37036433
-0.0485,-0.66129401,-0.36910805
-0.04845,-0.67008798,-0.36282664
-0.0484,-0.67511311,-0.36031408
-0.04835,-0.67888195,-0.35654523
-0.0483,-0.68139452,-0.35654523
-0.04825,-0.68767592,-0.35403267
-0.0482,-0.69646989,-0.35026382
-0.04815,-0.70023874,-0.34775126
-0.0481,-0.70526386,-0.3452387
-0.04805,-0.71028899,-0.34021357
-0.048,-0.7165704,-0.33895729
-0.04795,-0.71782668,-0.33644473
-0.0479,-0.72410808,-0.33393217
-0.04785,-0.72913321,-0.33016332
-0.0478,-0.73415833,-0.33267589
-0.04775,-0.74043974,-0.32388192
-0.0477,-0.7429523,-0.32765076
-0.04765,-0.74923371,-0.32262563
-0.0476,-0.75425884,-0.32136935
-0.04755,-0.75802768,-0.31885679
-0.0475,-0.76430909,-0.31634423
-0.04745,-0.76556537,-0.31508795
-0.0474,-0.77184678,-0.31634423
-0.04735,-0.77812818,-0.31634423
-0.0473,-0.78315331,-0.3113191
-0.04725,-0.78943472,-0.3113191
-0.0472,-0.790691,-0.30880654
-0.04715,-0.7969724,-0.30629398
-0.0471,-0.80199753,-0.30880654
-0.04705,-0.80325381,-0.30629398
-0.047,-0.8107915,-0.30629398
-0.04695,-0.81330406,-0.30378141
-0.0469,-0.81707291,-0.30126885
-0.04685,-0.82335431,-0.29875629
-0.0468,-0.82712316,-0.30126885
-0.04675,-0.830892,-0.30001257
-0.0467,-0.83842969,-0.29750001
-0.04665,-0.84094225,-0.29750001
-0.0466,-0.8447111,-0.29624372
-0.04655,-0.84847994,-0.29247488
-0.0465,-0.8509925,-0.29498744
-0.04645,-0.85601763,-0.2912186
-0.0464,-0.85978647,-0.29247488
-0.04635,-0.86355532,-0.29247488
-0.0463,-0.86732416,-0.28870604
-0.04625,-0.87486185,-0.2912186
-0.0462,-0.87737441,-0.2912186
-0.04615,-0.87988698,-0.28870604
-0.0461,-0.88742466,-0.28996232
-0.04605,-0.89244979,-0.28870604
-0.046,-0.89370607,-0.28493719
-0.04595,-0.89998748,-0.28493719
-0.0459,-0.86983673,-0.28996232
-0.04585,-0.84596738,-0.30252513
-0.0458,-0.82084175,-0.30755026
-0.04575,-0.80576637,-0.31383166
-0.0457,-0.78189703,-0.32011307
-0.04565,-0.76682165,-0.32890704
-0.0456,-0.75048999,-0.33393217
-0.04555,-0.73415833,-0.33895729
-0.0455,-0.72536436,-0.3452387
-0.04545,-0.71405783,-0.34775126
-0.0454,-0.7027513,-0.35654523
-0.04535,-0.69018849,-0.36031408
-0.0453,-0.68516336,-0.36659548
-0.04525,-0.67385683,-0.37413317
-0.0452,-0.66380658,-0.37664573
-0.04515,-0.65752517,-0.3854397
-0.0451,-0.64998748,-0.38669599
-0.04505,-0.63868095,-0.39297739
-0.045,-0.63365582,-0.3992588
-0.04495,-0.6286307,-0.40679649
-0.0449,-0.62234929,-0.41182161
-0.04485,-0.62109301,-0.41684674
-0.0448,-0.61355532,-0.41810302
-0.04475,-0.60727391,-0.42815327
-0.0447,-0.60099251,-0.42940955
-0.04465,-0.59973623,-0.43443468
-0.0446,-0.59094226,-0.44574121
-0.04455,-0.58842969,-0.44574121
-0.0445,-0.58340457,-0.45202262
-0.04445,-0.57837944,-0.45579146
-0.0444,-0.57712316,-0.46332915
-0.04435,-0.5746106,-0.46584171
-0.0443,-0.57084175,-0.47086684
-0.04425,-0.56581663,-0.47463568
-0.0442,-0.5607915,-0.48091709
-0.04415,-0.5607915,-0.48594222
-0.0441,-0.55576638,-0.48845478
-0.04405,-0.5545101,-0.49599247
-0.044,-0.55199753,-0.49724875
-0.04395,-0.54948497,-0.50353015
-0.0439,-0.54571613,-0.50604272
-0.04385,-0.54320356,-0.51358041
-0.0438,-0.54194728,-0.51734925
-0.04375,-0.53692216,-0.52363066
-0.0437,-0.53566587,-0.52363066
-0.04365,-0.53315331,-0.52865578
-0.0436,-0.53566587,-0.53493719
-0.04355,-0.52938447,-0.54373116
-0.0435,-0.52812819,-0.54247488
-0.04345,-0.52435934,-0.54875628
-0.0434,-0.52812819,-0.55503769
-0.04335,-0.52184678,-0.55629397
-0.0433,-0.51807793,-0.5613191
-0.04325,-0.52184678,-0.57136935
-0.0432,-0.51682165,-0.57136935
-0.04315,-0.51682165,-0.57639448
-0.0431,-0.51305281,-0.58267588
-0.04305,-0.51179653,-0.58518845
-0.043,-0.51179653,-0.59021357
-0.04295,-0.5067714,-0.5952387
-0.0429,-0.5067714,-0.60026382
-0.04285,-0.50300256,-0.60403267
-0.0428,-0.50551512,-0.60780151
-0.04275,-0.5067714,-0.61282664
-0.0427,-0.50300256,-0.61785176
-0.04265,-0.50300256,-0.62036432
-0.0426,-0.50174628,-0.62413317
-0.04255,-0.49797743,-0.62915829
-0.0425,-0.49797743,-0.63418342
-0.04245,-0.49672115,-0.6354397
-0.0424,-0.49672115,-0.64423367
-0.04235,-0.49420859,-0.64423367
-0.0423,-0.49169603,-0.6492588
-0.04225,-0.49169603,-0.65302764
-0.0422,-0.49169603,-0.65805277
-0.04215,-0.49043974,-0.66307789
-0.0421,-0.48792718,-0.66307789
-0.04205,-0.48918346,-0.67187186
-0.042,-0.48541462,-0.67815327
-0.04195,-0.4866709,-0.68066583
-0.0419,-0.49420859,-0.64800252
-0.04185,-0.50425884,-0.6153392
-0.0418,-0.51179653,-0.59146985
-0.04175,-0.51933422,-0.57011307
-0.0417,-0.52435934,-0.55252513
-0.04165,-0.53064075,-0.52991206
-0.0416,-0.53943472,-0.51986181
-0.04155,-0.54697241,-0.50478644
-0.0415,-0.54948497,-0.48971106
-0.04145,-0.55702266,-0.48091709
-0.0414,-0.5607915,-0.46961056
-0.04135,-0.56707291,-0.46081659
-0.0413,-0.57586688,-0.45453518
-0.04125,-0.580892,-0.44322865
-0.0412,-0.58717341,-0.43694724
-0.04115,-0.59094226,-0.42940955
-0.0411,-0.59847994,-0.42187186
-0.04105,-0.60476135,-0.41433418
