X,CH1,CH2
-0.006,2.72,5.6
-0.00598,2.72,5.6
-0.00596,2.72,6.4
-0.00594,2.72,5.6
-0.00592,2.72,5.6
-0.0059,2.72,5.6
-0.00588,2.72,5.6
-0.00586,2.72,4.8
-0.00584,2.72,5.6
-0.00582,2.64,6.4
-0.0058,2.72,5.6
-0.00578,2.72,6.4
-0.00576,2.72,5.6
-0.00574,2.72,5.6
-0.00572,2.72,5.6
-0.0057,2.64,5.6
-0.00568,2.72,5.6
-0.00566,2.72,6.4
-0.00564,2.72,5.6
-0.00562,2.64,5.6
-0.0056,2.72,5.6
-0.00558,2.8,5.6
-0.00556,2.72,5.6
-0.00554,2.8,6.4
-0.00552,2.72,5.6
-0.0055,2.8,5.6
-0.00548,2.72,5.6
-0.00546,2.64,5.6
-0.00544,2.72,6.4
-0.00542,2.72,5.6
-0.0054,2.72,5.6
-0.00538,2.72,5.6
-0.00536,2.72,5.6
-0.00534,2.64,6.4
-0.00532,2.72,5.6
-0.0053,2.72,6.4
-0.00528,2.72,5.6
-0.00526,2.72,6.4
-0.00524,2.72,5.6
-0.00522,2.72,6.4
-0.0052,2.72,5.6
-0.00518,2.72,6.4
-0.00516,2.72,5.6
-0.00514,2.72,6.4
-0.00512,2.72,5.6
-0.0051,2.72,5.6
-0.00508,2.72,5.6
-0.00506,2.72,5.6
-0.00504,2.72,5.6
-0.00502,2.72,6.4
-0.005,2.72,5.6
-0.00498,2.72,6.4
-0.00496,2.72,6.4
-0.00494,2.72,5.6
-0.00492,2.72,5.6
-0.0049,2.72,5.6
-0.00488,2.72,5.6
-0.00486,2.8,6.4
-0.00484,2.72,5.6
-0.00482,2.64,5.6
-0.0048,2.72,5.6
-0.00478,2.8,6.4
-0.00476,2.72,5.6
-0.00474,2.72,5.6
-0.00472,2.72,5.6
-0.0047,2.72,6.4
-0.00468,2.72,5.6
-0.00466,2.72,5.6
-0.00464,2.72,5.6
-0.00462,2.72,6.4
-0.0046,2.72,5.6
-0.00458,2.64,5.6
-0.00456,2.72,5.6
-0.00454,2.72,5.6
-0.00452,2.72,5.6
-0.0045,2.72,6.4
-0.00448,2.72,5.6
-0.00446,2.72,5.6
