time_s,ch1_v,ch2_v
-0.025,0.33512554,2.51587958
-0.024975,0.33512554,2.52090471
-0.02495,0.34015066,2.52090471
-0.024925,0.33512554,2.51587958
-0.0249,0.34015066,2.51587958
-0.024875,0.34015066,2.51085445
-0.02485,0.33512554,2.51587958
-0.024825,0.34015066,2.51587958
-0.0248,0.33512554,2.52592983
-0.024775,0.33512554,2.52090471
-0.02475,0.33512554,2.51587958
-0.024725,0.33512554,2.51085445
-0.0247,0.34015066,2.51085445
-0.024675,0.34015066,2.51587958
-0.02465,0.33512554,2.52090471
-0.024625,0.33512554,2.52090471
-0.0246,0.33512554,2.51587958
-0.024575,0.33512554,2.51587958
-0.02455,0.34015066,2.51587958
-0.024525,0.33512554,2.52090471
-0.0245,0.34015066,2.52090471
-0.024475,0.33512554,2.52090471
-0.02445,0.33512554,2.52090471
-0.024425,0.33512554,2.51085445
-0.0244,0.33512554,2.51587958
-0.024375,0.34015066,2.51587958
-0.02435,0.34015066,2.52592983
-0.024325,0.33512554,2.52090471
-0.0243,0.34015066,2.52090471
-0.024275,0.34015066,2.51587958
-0.02425,0.34015066,2.51085445
-0.024225,0.33512554,2.52090471
-0.0242,0.33512554,2.52090471
-0.024175,0.33512554,2.52592983
-0.02415,0.33512554,2.51587958
-0.024125,0.33512554,2.51085445
-0.0241,0.34015066,2.51085445
-0.024075,0.33512554,2.51587958
-0.02405,0.33512554,2.52090471
-0.024025,0.33010041,2.52090471
-0.024,1.49090442,0.45557809
-0.023975,2.30497476,0.45055297
-0.02395,2.38537677,0.45055297
-0.023925,2.4105024,0.45055297
-0.0239,2.42055265,0.45055297
-0.023875,2.42557778,0.45055297
-0.02385,2.42557778,0.45055297
-0.023825,2.41552753,0.45055297
-0.0238,2.4105024,0.45055297
-0.023775,2.40547728,0.45557809
-0.02375,2.42055265,0.45557809
-0.023725,2.42055265,0.45557809
-0.0237,2.41552753,0.45055297
-0.023675,2.4105024,0.45055297
-0.02365,2.40547728,0.45055297
-0.023625,2.40547728,0.45055297
-0.0236,2.41552753,0.45055297
-0.023575,2.4105024,0.45055297
-0.02355,2.42557778,0.45557809
-0.023525,2.4105024,0.45557809
-0.0235,2.40547728,0.45557809
-0.023475,2.4105024,0.45557809
-0.02345,2.4105024,0.45557809
-0.023425,2.41552753,0.45557809
-0.0234,2.42055265,0.46060322
-0.023375,2.41552753,0.45557809
-0.02335,2.40547728,0.45557809
-0.023325,2.40547728,0.45557809
-0.0233,2.4105024,0.45557809
-0.023275,2.42055265,0.45055297
-0.02325,2.41552753,0.45055297
-0.023225,2.4105024,0.45557809
-0.0232,2.40547728,0.45557809
-0.023175,2.40045215,0.45557809
-0.02315,2.4105024,0.45557809
-0.023125,2.4105024,0.45557809
-0.0231,2.41552753,0.45557809
-0.023075,2.4105024,0.45055297
-0.02305,2.40547728,0.45055297
-0.023025,2.40547728,0.45055297
-0.023,2.40547728,0.45557809
-0.022975,2.4105024,0.45557809
-0.02295,2.41552753,0.46060322
-0.022925,2.4105024,0.45055297
