pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames
0.000027,0,2,11,14,5,9,2,0,0
0.000342,1,1000,11,15,7,12,10,1,0
0.000523,2,2000,11,14,7,10,8,1,0
0.001072,3,3000,12,16,6,10,6,1,0
0.002076,4,4000,13,16,6,10,7,1,0
0.003072,5,5000,11,13,6,14,7,1,0
0.004071,6,6000,12,13,7,10,8,1,0
0.005070,7,7000,9,15,6,10,9,1,0
0.006068,8,8000,13,11,7,10,8,1,0
0.007067,9,9000,13,15,5,10,6,1,0
0.008044,10,10000,12,18,14,9,7,1,0
0.009049,11,11000,13,14,7,8,8,1,0
0.010044,12,12000,4,15,5,10,6,1,0
0.011125,13,13000,11,13,7,10,9,1,0
0.012039,14,14000,10,13,4,11,7,1,0
0.013059,15,15000,12,14,19,10,7,1,0
0.014434,16,16000,10,14,7,11,6,1,0
0.015458,17,17000,13,15,7,9,8,1,0
0.016067,18,18000,11,16,6,8,7,1,0
0.017084,19,19000,14,17,6,10,6,1,0
0.018081,20,20000,11,16,7,11,7,1,0
0.019056,21,21000,7,15,7,11,5,1,0
0.020045,22,22000,13,13,9,11,8,1,0
0.021084,23,23000,8,14,4,9,7,1,0
0.022065,24,24000,11,14,8,11,8,1,0
0.023049,25,25000,12,15,3,11,8,1,0
0.024075,26,26000,14,14,5,12,7,1,0
0.025044,27,27000,11,15,5,11,6,1,0
0.026072,28,28000,11,11,7,10,9,1,0
0.027052,29,29000,10,17,6,10,8,1,0
0.028054,30,30000,11,14,8,10,6,1,0
0.029433,31,31000,12,14,0,12,8,1,0
0.030129,32,32000,7,16,12,12,7,1,0
0.031114,33,33000,11,15,6,10,7,1,0
0.032058,34,34000,14,15,6,11,6,1,0
0.033043,35,35000,13,13,6,10,6,1,0
0.034072,36,36000,11,14,6,10,6,1,0
0.035060,37,37000,12,15,5,9,8,1,0
0.036038,38,38000,8,17,5,11,4,1,0
0.037031,39,39000,12,13,7,10,9,1,0
0.038075,40,40000,11,15,7,12,5,1,0
0.039048,41,41000,11,12,6,10,6,1,0
0.040046,42,42000,11,11,5,6,8,1,0
0.041042,43,43000,9,15,5,10,6,1,0
0.042043,44,44000,10,13,7,10,6,1,0
0.043046,45,45000,11,15,6,11,8,1,0
0.044077,46,46000,12,15,8,10,8,1,0
0.045047,47,47000,10,15,5,10,8,1,0
0.046082,48,48000,11,15,7,10,7,1,0
0.047047,49,49000,14,15,5,11,8,1,0
0.048043,50,50000,12,17,7,6,8,1,0
0.049040,51,51000,11,16,7,9,11,1,0
0.050045,52,52000,10,19,5,10,5,1,0
0.051068,53,53000,7,13,7,9,7,1,0
0.052033,54,54000,10,14,6,11,7,1,0
0.053047,55,55000,6,16,6,11,9,1,0
0.054071,56,56000,12,13,7,12,6,1,0
0.055055,57,57000,12,14,6,10,6,1,0
0.056080,58,58000,7,15,5,11,11,1,0
0.057047,59,59000,11,14,6,9,8,1,0
0.058039,60,60000,10,13,3,11,9,1,0
0.059045,61,61000,12,7,5,12,5,1,0
0.060039,62,62000,12,14,9,10,0,1,0
0.061044,63,63000,9,15,5,10,8,1,0
0.062063,64,64000,12,14,7,9,8,1,0
0.063045,65,65000,11,13,7,11,9,1,0
0.064076,66,66000,11,13,7,13,8,1,0
0.065048,67,67000,10,16,7,10,12,1,0
0.066051,68,68000,12,13,6,12,9,1,0
0.067046,69,69000,10,17,5,10,7,1,0
0.068045,70,70000,12,13,8,9,4,1,0
0.069040,71,71000,10,14,6,10,0,1,0
0.070046,72,72000,7,14,6,10,5,1,0
0.071041,73,73000,12,13,5,9,7,1,0
0.072040,74,74000,11,13,3,10,8,1,0
0.073048,75,75000,10,14,4,11,7,1,0
0.074081,76,76000,12,14,6,10,8,1,0
0.075050,77,77000,11,15,5,10,7,1,0
0.076051,78,78000,10,16,7,12,8,1,0
0.077106,79,79000,13,13,7,10,8,1,0
0.078089,80,80000,10,17,5,12,9,1,0
0.079065,81,81000,11,14,7,11,6,1,0
0.080048,82,82000,12,13,6,10,14,1,0
0.081056,83,83000,10,15,6,10,6,1,0
0.082046,84,84000,10,13,7,10,9,1,0
0.083072,85,85000,12,15,6,10,6,1,0
0.084074,86,86000,10,15,7,12,8,1,0
0.085054,87,87000,10,14,6,10,7,1,0
0.086047,88,88000,14,13,6,11,8,1,0
0.087047,89,89000,9,17,6,12,9,1,0
0.088065,90,90000,12,15,7,12,9,1,0
0.089056,91,91000,11,15,2,11,6,1,0
0.090048,92,92000,8,14,5,12,5,1,0
0.091042,93,93000,10,14,8,10,10,1,0
0.092057,94,94000,11,14,5,9,8,1,0
0.093419,95,95000,10,13,7,11,8,1,0
0.094432,96,96000,10,13,7,11,8,1,0
0.095077,97,97000,12,21,7,10,7,1,0
0.096077,98,98000,9,17,5,11,10,1,0
0.097369,99,99000,11,13,6,10,10,1,0
0.098068,100,100000,13,15,7,11,6,1,0
0.099102,101,101000,9,13,5,12,9,1,0
