pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames
0.000015,0,1,3060,3529,3527,3533,3263,0,0
0.000243,1,1000,2948,3528,3529,3536,3304,1,0
0.000590,2,2000,3227,3525,3523,3529,3167,1,0
0.001600,3,3000,3356,3523,3517,3526,3032,1,0
0.002594,4,4000,3417,3520,3514,3523,2914,1,0
0.003711,5,5000,3452,3518,3512,3521,2810,1,0
0.004612,6,6000,3319,3524,3522,3528,3062,1,0
0.005599,7,7000,3183,3527,3525,3532,3194,1,0
0.006565,8,8000,3060,3528,3527,3534,3261,1,0
0.007605,9,9000,2950,3528,3528,3534,3308,1,0
0.008667,10,10000,3228,3527,3522,3530,3165,1,0
0.009687,11,11000,3355,3522,3517,3526,3031,1,0
0.010675,12,12000,3418,3520,3515,3522,2914,1,0
0.011808,13,13000,3453,3518,3513,3520,2809,1,0
0.012685,14,14000,3319,3524,3520,3528,3063,1,0
0.013768,15,15000,3183,3527,3525,3533,3195,1,0
0.014763,16,16000,3061,3527,3526,3534,3261,1,0
0.015668,17,17000,2948,3530,3528,3536,3305,1,0
0.016690,18,18000,3228,3526,3521,3529,3166,1,0
0.017652,19,19000,3355,3522,3516,3524,3031,1,0
0.018653,20,20000,3417,3520,3514,3523,2914,1,0
0.020079,21,21000,3453,3518,3512,3521,2808,1,0
0.020717,22,22000,3320,3524,3521,3529,3063,1,0
0.021663,23,23000,3182,3527,3526,3532,3193,1,0
0.022654,24,24000,3062,3528,3528,3534,3264,1,0
0.023656,25,25000,2949,3529,3529,3533,3304,1,0
0.024693,26,26000,3228,3526,3523,3531,3168,1,0
0.025667,27,27000,3356,3523,3515,3526,3032,1,0
0.026992,28,28000,3418,3520,3514,3523,2913,1,0
0.027751,29,29000,3453,3517,3512,3522,2808,1,0
0.028964,30,30000,3320,3524,3521,3529,3062,1,0
0.029738,31,31000,3181,3527,3525,3532,3194,1,0
0.030845,32,32000,3060,3527,3527,3534,3264,1,0
0.031600,33,33000,2950,3529,3528,3536,3304,1,0
0.032588,34,34000,3228,3526,3521,3530,3165,1,0
0.033585,35,35000,3354,3522,3517,3526,3031,1,0
0.034768,36,36000,3417,3518,3515,3522,2916,1,0
0.035688,37,37000,3454,3518,3512,3521,2808,1,0
0.036580,38,38000,3321,3524,3522,3527,3063,1,0
0.038182,39,39000,3182,3527,3526,3534,3194,1,0
0.038755,40,40000,3061,3528,3527,3534,3262,1,0
0.039852,41,41000,2950,3530,3529,3537,3304,1,0
0.041016,42,42000,3227,3525,3534,3530,3166,1,0
0.041751,43,43000,3356,3523,3517,3526,3031,1,0
0.042671,44,44000,3418,3520,3515,3522,2914,1,0
0.043549,45,45000,3463,3518,3513,3522,2809,1,0
0.044955,46,46000,3321,3525,3523,3530,3062,1,0
0.045572,47,47000,3182,3528,3526,3533,3195,1,0
0.046576,48,48000,3061,3528,3527,3534,3262,1,0
0.047573,49,49000,2949,3530,3529,3536,3304,1,0
0.048542,50,50000,3228,3525,3522,3529,3165,1,0
0.049544,51,51000,3355,3522,3517,3526,3030,1,0
0.050539,52,52000,3418,3520,3514,3524,2913,1,0
0.051540,53,53000,3454,3518,3512,3521,2808,1,0
0.052534,54,54000,3319,3524,3522,3528,3063,1,0
0.053562,55,55000,3181,3526,3526,3532,3193,1,0
0.054588,56,56000,3060,3527,3527,3534,3262,1,0
0.055569,57,57000,2949,3529,3529,3536,3304,1,0
0.056543,58,58000,3229,3526,3522,3530,3166,1,0
0.057563,59,59000,3356,3523,3517,3525,3030,1,0
0.058560,60,60000,3417,3520,3514,3522,2914,1,0
0.059532,61,61000,3453,3518,3512,3520,2808,1,0
0.060534,62,62000,3320,3524,3522,3530,3063,1,0
0.061534,63,63000,3185,3528,3526,3532,3194,1,0
0.062575,64,64000,3060,3528,3514,3536,3264,1,0
0.063538,65,65000,2951,3531,3528,3537,3305,1,0
0.064535,66,66000,3228,3526,3522,3530,3162,1,0
0.065569,67,67000,3357,3522,3517,3526,3030,1,0
0.066556,68,68000,3417,3518,3514,3534,2914,1,0
0.067537,69,69000,3454,3519,3513,3521,2808,1,0
0.068532,70,70000,3319,3524,3522,3529,3063,1,0
0.069534,71,71000,3182,3526,3525,3532,3194,1,0
0.071192,72,72000,3061,3529,3528,3534,3264,1,0
0.071549,73,73000,2950,3529,3529,3537,3305,1,0
0.072533,74,74000,3228,3526,3522,3530,3165,1,0
0.073532,75,75000,3356,3521,3517,3524,3030,1,0
0.074536,76,76000,3418,3521,3514,3523,2913,1,0
0.075565,77,77000,3454,3516,3507,3521,2808,1,0
0.076535,78,78000,3321,3524,3521,3528,3063,1,0
0.077602,79,79000,3181,3527,3525,3533,3193,1,0
0.078553,80,80000,3061,3529,3528,3534,3262,1,0
0.079535,81,81000,2950,3529,3529,3537,3304,1,0
0.080534,82,82000,3228,3525,3522,3529,3166,1,0
0.081532,83,83000,3355,3523,3517,3526,3031,1,0
0.082537,84,84000,3418,3518,3514,3522,2914,1,0
0.083533,85,85000,3454,3518,3513,3521,2807,1,0
0.084566,86,86000,3320,3524,3522,3528,3064,1,0
0.085565,87,87000,3182,3527,3525,3532,3194,1,0
0.086536,88,88000,3061,3529,3527,3534,3262,1,0
0.087562,89,89000,2952,3529,3529,3537,3305,1,0
0.088545,90,90000,3228,3526,3523,3530,3166,1,0
0.089535,91,91000,3355,3522,3517,3525,3031,1,0
0.090538,92,92000,3417,3520,3514,3522,2913,1,0
0.091541,93,93000,3456,3516,3512,3522,2809,1,0
0.092536,94,94000,3319,3524,3521,3529,3062,1,0
0.093586,95,95000,3182,3527,3525,3531,3193,1,0
0.094566,96,96000,3062,3529,3527,3534,3264,1,0
0.095565,97,97000,2950,3530,3529,3536,3304,1,0
